Adam,Alex,Lee
$0,$200,$0
$0,$200,$400
$0,$200,$600
$400,$200,$600
"$1,000",$200,$600
"$1,000","$1,000",$600
"$2,000","$1,000",$600
"$2,000","$1,200",$600
"$2,000","$1,800",$600
"$2,000","$2,600",$600
"$2,000","$2,600","$1,600"
"$2,000","$2,800","$1,600"
"$2,400","$2,800","$1,600"
"$3,200","$2,800","$1,600"
"$3,800","$2,800","$1,600"
"$3,200","$3,400","$1,600"
"$4,000","$3,400","$1,600"
"$4,000","$3,400","$2,400"
"$4,000","$3,600","$2,400"
"$4,400","$3,600","$2,400"
"$5,000","$3,600","$2,400"
"$5,000","$4,400","$2,400"
"$6,000","$4,400","$2,400"
"$6,000","$5,400","$2,400"
"$6,000","$7,400","$2,400"
"$6,000","$7,400","$3,000"
"$6,000","$7,400","$4,000"
"$6,000","$7,400","$4,400"
"$6,000","$7,400","$4,600"
"$6,000","$7,800","$4,600"
"$6,000","$7,400","$5,000"
"$6,800","$7,400","$5,000"
"$6,800","$8,600","$5,000"
"$5,200","$10,200","$5,000"
"$5,200","$10,200","$5,000"
"$6,000","$10,200","$5,000"
"$10,000","$10,200","$5,000"
"$10,000","$11,400","$5,000"
"$10,000","$13,000","$5,000"
"$10,000","$13,000","$5,000"
"$10,000","$13,800","$5,000"
"$10,000","$14,600","$5,000"
"$10,000","$15,800","$5,000"
"$10,000","$13,800","$5,000"
"$10,000","$15,800","$5,000"
"$10,000","$16,600","$5,000"
"$11,200","$16,600","$5,000"
"$11,600","$16,600","$5,000"
"$11,600","$17,000","$5,000"
"$12,400","$16,200","$5,000"
"$14,000","$16,200","$5,000"
"$16,000","$16,200","$5,000"
"$16,400","$16,200","$5,000"
"$16,400","$17,800","$5,000"
"$16,400","$18,200","$5,000"
"$16,400","$18,600","$5,000"
"$16,400","$18,600","$6,200"
"$18,000","$18,600","$6,200"
"$20,000","$18,600","$6,200"
"$20,000","$18,600","$8,200"
"$2,799","$20,798","$16,399"
