James,Faizan,Lisa,
"$1,000",$0,$0,
"$1,000","$1,000",$0,
"$1,000","$1,800",$0,
"$1,800","$1,800",$0,
"$2,600","$1,800",$0,
"$2,600","$2,800",$0,
"$3,600","$2,800",$0,
"$2,800","$2,800",$0,
"$5,600","$2,800",$0,
"$5,600","$2,800",$0,
"$6,400","$2,800",$0,
"$7,400","$2,800",$0,
"$7,400","$2,800",$800,
"$8,000","$2,800",$800,
"$8,600","$2,800",$800,
"$8,600","$3,400",$800,
"$8,600","$3,400","$1,200",
"$8,800","$3,400","$1,200",
"$9,400","$3,400","$1,200",
"$9,400","$3,800","$1,200",
"$9,400","$4,200","$1,200",
"$9,400","$4,800","$1,200",
"$9,400","$4,800","$1,600",
"$9,400","$4,800","$1,800",
"$9,800","$4,800","$1,800",
"$10,200","$4,800","$1,800",
"$10,400","$4,800","$1,800",
"$10,400","$5,000","$1,800",
"$10,400","$5,000","$2,000",
"$10,400","$5,200","$2,000",
"$12,400","$5,200","$2,000",
"$24,314","$5,200","$2,000",
"$25,514","$5,200","$2,000",
"$25,514","$6,800","$2,000",
"$25,514","$2,800","$2,000",
"$25,514","$4,800","$2,000",
"$27,514","$4,800","$2,000",
"$27,514","$6,800","$2,000",
"$29,114","$6,800","$2,000",
"$29,114","$6,800","$4,000",
"$29,114","$8,400","$4,000",
"$30,714","$8,400","$4,000",
"$30,714","$8,400","$2,800",
"$31,914","$8,400","$2,800",
"$33,914","$8,400","$2,800",
"$35,114","$8,400","$2,800",
"$36,314","$8,400","$2,800",
"$37,514","$8,400","$2,800",
"$38,314","$8,400","$2,800",
"$38,714","$8,400","$2,800",
"$39,514","$8,400","$2,800",
"$39,914","$8,400","$2,800",
"$40,714","$8,400","$2,800",
"$41,114","$8,400","$2,800",
"$41,914","$8,400","$2,800",
"$41,914","$8,800","$2,800",
"$42,714","$8,800","$2,800",
"$43,514","$8,800","$2,800",
"$43,914","$8,800","$2,800",
"$43,914","$9,200","$2,800",
"$69,033","$9,223",$1,
